name,score,sl,tp,cooldown_hours,max_entries_24h,max_positions,cost,trades,win_rate,return_pct,median_pct,profit_factor,drawdown_pct,remove_top10_return,remove_top20_return,remove_symbol10_return,first_half_return,second_half_return,mc_positive_probability,mc_drawdown_p95,walk_forward_positive_windows,walk_forward_windows,robustness_score,eligible
S78_SL4_TP15,78,4.0,15.0,12,1,10,0.1,291,42.2680412371134,1073.960276391664,-0.21997602876550043,1.7253806390165145,-48.48112415953943,195.2803324846272,-25.729620920203246,-7.142258664029266,113.54914847497541,449.7377464510161,99.94,-22.776881776545682,9,13,53.0,False
S78_SL5_TP8,78,5.0,8.0,12,1,10,0.1,299,45.819397993311036,259.49034417832826,-0.19001098791329146,1.3798653255414095,-45.7813481222881,69.62881232166897,-19.959090875090467,-44.03060746743015,-5.117224192562375,278.8784013949014,96.26,-23.491965821700056,9,13,48.0,False
S78_SL5_TP10,78,5.0,10.0,12,1,10,0.1,294,42.857142857142854,222.45062224031824,-0.20998876294724395,1.3431141249955856,-44.05912886709683,23.827433952947864,-51.382404933028305,-47.76056970370443,-3.308433490839646,233.4837089538417,93.76,-26.420975521270538,9,13,48.0,False
S78_SL5_TP12,78,5.0,12.0,12,1,10,0.1,289,43.59861591695502,575.5671613566243,-0.21001803245842537,1.5326282356869785,-46.58884568582624,120.52966297433451,-27.714868028409434,-41.03571647989258,45.597910412079166,363.99509405361556,98.86,-24.85179659439954,10,13,56.0,False
S78_SL5_TP15,78,5.0,15.0,12,1,10,0.1,284,43.66197183098591,3146.5616604473994,-0.2039960838378428,2.150153842400635,-49.755704339415594,238.06332623448355,-14.968629366064324,20.822667526381423,-11.939885525517868,3586.756120886239,99.9,-23.4648845879533,10,13,61.0,False
S78_SL6_TP8,78,6.0,8.0,12,1,10,0.1,292,49.65753424657534,810.9429179577392,-0.06463823630619131,1.7712440687257633,-44.51375293217086,60.76955740920176,-24.139411468378146,-22.928105379380348,13.933474147443214,699.5393143009693,97.54,-25.10327866183699,10,13,59.0,False
S78_SL6_TP10,78,6.0,10.0,12,1,10,0.1,284,46.478873239436616,692.7909427113594,-0.19001148656595507,1.5831831208463976,-40.658557157111105,204.44744505383977,19.53330639497888,-25.011765018176725,76.54738265567211,349.05278729482677,99.38,-23.39445126777253,9,13,60.0,False
S78_SL6_TP12,78,6.0,12.0,12,1,10,0.1,282,46.45390070921986,672.9621032459196,-0.18501398681253206,1.5794149854449047,-41.72116806668282,153.36123444160958,-16.953347585588464,-22.3118975527114,51.654697884051885,409.6855646614327,99.26,-24.899005371431638,10,13,56.0,False
S78_SL6_TP15,78,6.0,15.0,12,1,10,0.1,274,43.43065693430657,829.3058316965834,-0.20799516451091554,1.632912666349618,-39.198063469765685,133.7436287083711,-41.20763897283333,15.105211305714938,47.57371476168706,529.7231408705103,99.28,-25.20351076667442,8,13,63.0,False
S80_SL4_TP8,80,4.0,8.0,12,1,10,0.1,313,45.68690095846645,401.26174986764516,-0.2,1.4617370320047107,-45.71853877123969,134.8263529573403,10.804965972112601,-24.85896086820265,53.1962183762184,227.2024304390133,99.22,-21.71055559316105,8,13,60.0,False
